,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000954729,46.2178813464195,8.96992681584703,1.69664717374383,5.28685454150962,1.24437510140787e-07,2.98377253708776e-05,PHKA2-222,4.525234287651418,True
ENST00000423829,13.6281166014924,-7.2088206884416,1.44079649174609,-5.00335802435586,5.6340163811478e-07,0.0001140233599682,ICAM1-202,3.9430061656284243,True
ENST00000684500,6.48318506822793,6.13610488651549,1.4137674212181,4.34025059173355,1.42320321242594e-05,0.0019745676519233,ERBB3-232,2.7045279820319417,True
ENST00000921280,52.4671468682165,-9.15878543545682,1.5434210510555,-5.93408093610839,2.9549604468185104e-09,1.2377076258875e-06,RBMX-216,5.907381933231784,True
ENST00000869305,16.7504170741315,7.50568684922993,1.74769875469655,4.29461131620085,1.74999658790271e-05,0.002378108812918,ZBTB2-202,2.6237682776531193,True
ENST00000567195,20.9728645473573,-7.83090820257348,1.67096190340733,-4.68646722980646,2.77961301708573e-06,0.000469868198376,COMMD4-217,3.3280239479057467,True
ENST00000928189,16.6532966007284,7.5038227264729,1.79172505018312,4.18804365419013,2.81369403310179e-05,0.0036368918801496,COMMD4-238,2.439269609737802,True
ENST00000535871,9.59079062491982,-4.78315596521813,1.35885945643576,-3.51997842202473,0.0004315819082047,0.0398352508982414,CDCA3-205,1.3997324431305564,True
ENST00000945413,80.3859806902515,9.76826118409815,1.32773502235508,7.35708633095452,1.87967793358391e-13,3.10990364514042e-10,CYFIP1-239,9.507253066610488,True
ENST00000937332,251.226169825506,-11.4184567050552,1.73880389840909,-6.56684558592402,5.13922903373777e-11,3.54282924831509e-08,MIDN-209,7.450649778601495,True
ENST00000929456,7.07647239606729,-6.27257878545497,1.55050799302682,-4.04549916134903,5.22117526292174e-05,0.0061592650323089,ZNF623-211,2.2104711078771375,True
ENST00000934388,10.1637547104566,6.78705629741058,1.35248737848334,5.01820305711207,5.21570329877639e-07,0.000106816788167,OSTF1-210,3.9713604848046233,True
ENST00000890101,26.5079140756024,8.1679420765979,1.28955756430519,6.33391040670509,2.3902434385588e-10,1.36956810079742e-07,ZNF135-207,6.8634163678896085,True
ENST00000928754,66.9591541354516,-9.50938041697823,1.50724780032333,-6.30910220266256,2.80658745692814e-10,1.58750901372458e-07,POC1B-224,6.799283800146391,True
ENST00000938369,4.16763606796446,5.50535561298549,1.57617425141847,3.4928597571182,0.0004778774104754,0.0437120775211607,COX6B1-210,1.3593985521345786,True
ENST00000677322,8.14876070452385,-6.46874918891208,1.83553751469063,-3.52417160485132,0.0004248090299044,0.0392648731767625,PPP1CA-212,1.4059958009550986,True
ENST00000876784,81.3053758594921,9.78456475735133,1.29783704528926,7.53913196796641,4.73110011984884e-14,1.11822085850549e-10,FAM168A-206,9.951472410977948,True
ENST00000962331,75.6877506349817,9.68261472054314,1.45803027165827,6.64088730443897,3.1180037535134e-11,2.33377216675371e-08,TBC1D10A-217,7.631941543985298,True
ENST00000860048,31.2083782098574,8.40431448872515,1.46056220166834,5.75416403294928,8.7071580742962e-09,3.08147255496195e-06,ARFIP2-215,5.511241695946176,True
ENST00000628656,24.872787153775,-8.07989003908386,1.52205283249613,-5.30854768413856,1.10502177910085e-07,2.67384968299834e-05,MEF2C-231,4.572863011314615,True
ENST00000931257,31.0191019432097,-8.39970867640632,1.73783938089761,-4.83342060764429,1.34206815734648e-06,0.0002483263571166,ZBED5-216,3.604977182407565,True
ENST00000888326,25.5894845611469,-8.12317073619084,1.85622775480126,-4.37617135891849,1.20782073477404e-05,0.0017152998351282,TCF12-235,2.765659954128485,True
ENST00000714042,71.7834214906317,-9.61032640439337,1.44717463131481,-6.64075101680164,3.1208884436676494e-11,2.33377216675371e-08,VPS33A-210,7.631941543985298,True
ENST00000917506,19.405236824453,7.7225505913231,1.66855102395814,4.62829753506946,3.68684065376651e-06,0.0006009686478964,PCMT1-220,3.221148184238114,True
ENST00000946407,29.700281637496,8.33228996824002,1.60142233128644,5.20305593687246,1.96037830898692e-07,4.45831121304468e-05,HERC4-235,4.350829618809903,True
ENST00000679450,61.1659562592396,-9.38072203424195,1.70433963138237,-5.50402153509354,3.71224173401955e-08,1.12694633869975e-05,AHI1-218,4.948096763067849,True
ENST00000688329,10.4978912070142,6.83160177312971,1.36142146812844,5.01799180713757,5.22144032095013e-07,0.000106816788167,ZNF600-208,3.9713604848046233,True
ENST00000644006,24.6016631236306,-8.0621821134539,1.75912668257519,-4.5830594199456,4.58221760576182e-06,0.0007280885235066,TRMU-221,3.1378158144600587,True
ENST00000344624,144.762109138939,-1.0857779133241,0.281184049601922,-3.86144916420849,0.0001127164670327,0.0120606619725027,DROSHA-201,1.9186288544582886,True
ENST00000529737,23.7277062358976,-8.00877751307153,2.06991584620765,-3.86913193970887,0.000109223527829,0.0117629917981493,GANAB-209,1.929482205795717,True
ENST00000861938,17.5332333454925,-7.57550869439765,2.01598570207217,-3.75771945535676,0.0001714689671307,0.0175933806360183,ARSA-211,1.7546507011622263,True
